district,min_similarity,max_similarity,similarity_range,most_similar
CA-34,0.3677673321884368,0.5981744023485124,0.23040707016007556,NY-07,NY-09,CA-29,NY-05,CA-40,NY-12,NY-08,NY-14,MA-07,WA-07,CA-37,NY-13,CA-17,NY-10,CA-12,MI-13,CA-43,TX-30,IL-07,MI-14,FL-20,IL-02,NJ-10,MO-01,TX-09
CA-35,0.24562897833928304,0.5420627938717064,0.2964338155324234,CA-17,MA-05,NY-16,AZ-07,NY-06,TX-29,CA-29,TX-20,NY-10,OR-03,CA-15,CA-19,CA-20,CA-05,CA-30,SC-06,TX-33,GA-13,MS-02,VT-00,WI-04,TX-16,CA-28,CO-01,HI-02
CA-36,0.14933760410559693,0.29544298942435576,0.14610538531875883,AZ-09,CA-03,CT-05,FL-22,OR-05,WA-10,FL-09,CO-07,WA-01,MD-06,CA-26,IL-17,OR-04,CA-52,TX-15,CT-04,WA-06,MO-05,CA-07,GA-02,NH-02,CA-09,AZ-01,MI-09,IL-08
CA-37,0.2636989239644333,0.5343974550837605,0.2706985311193272,WA-07,CA-12,IL-07,NY-05,NJ-10,NY-07,NY-09,GA-05,CA-13,NY-08,MA-07,FL-20,IL-02,IL-04,MI-13,TX-30,OH-11,NY-13,CA-43,MI-14,NY-12,TX-09,CA-34,NY-14,MO-01
CA-38,0.11356953816935235,0.3140880290619176,0.20051849089256524,CA-27,CA-53,MD-05,OH-03,IL-09,NJ-12,IL-05,TX-35,WI-02,MD-08,NV-01,CA-11,MD-03,CO-01,VA-08,NJ-09,CA-41,CA-51,MI-12,WA-09,CA-47,CA-18,MD-02,MN-04,RI-01
CA-39,0.09251507985188141,0.340812646478971,0.24829756662708963,IL-06,CA-45,MN-03,WA-08,CA-48,NJ-11,NJ-07,IL-14,FL-07,CA-49,VA-10,OH-01,VA-07,TX-07,VA-02,NV-03,WA-03,NJ-02,CA-21,CA-10,MI-11,MN-02,IL-13,OH-10,VA-05
CA-40,0.4478655601851966,0.8463696001156941,0.3985040399304975,CA-34,NY-14,CA-29,NY-07,NY-12,NY-09,NY-10,CA-17,NY-08,NY-16,MA-07,NY-05,NY-13,CA-43,WA-07,CA-44,CA-37,MO-01,CA-35,IL-02,FL-24,MI-13,TN-09,TX-30,MI-14
CA-41,0.08484904242241047,0.25674273115319163,0.17189368873078115,CA-47,CA-53,IN-07,WA-02,RI-01,TX-34,MD-03,MD-08,IL-11,CA-27,MD-02,NJ-01,CO-02,NV-01,CT-01,NJ-06,OR-01,TX-35,FL-23,IL-08,MN-04,MA-03,CA-16,CT-04,NJ-12
CA-42,0.07886856154387503,0.16714700116962902,0.08827843962575399,MO-02,TX-06,VA-01,TX-10,FL-03,AZ-06,NC-08,TX-31,OK-05,GA-07,VA-07,WA-05,IN-05,NC-05,IL-14,TX-25,VA-05,TX-24,NC-06,CA-04,FL-16,CA-01,NV-02,OH-01,NC-02
CA-43,0.25940001927524997,0.41675505470839824,0.15735503543314827,CA-19,WA-07,WI-04,IL-02,MD-04,NY-10,MD-07,TX-18,MO-01,NY-12,TN-09,IL-01,OR-03,NY-14,TX-30,CA-15,CA-28,TX-09,NJ-08,CA-20,CA-14,TX-33,MI-14,MN-05,GA-04
CA-44,0.6067921864197002,0.865655144962473,0.25886295854277275,NY-09,NY-08,NY-14,MA-07,NY-16,CA-37,NY-10,NY-07,NY-05,NY-12,WA-07,MI-13,CA-40,NY-13,IL-02,CA-43,CA-12,TX-30,MO-01,MI-14,CA-34,FL-20,NJ-08,IL-04,IL-07
